body_forms,body_html,body_noCharacters,body_noDistinctWords,body_noFunctionWords,body_noWords,body_richness,body_suspension,body_verifyYourAccount,script_javaScript,script_noOnClickEvents,script_nonModalJsLoads,script_popups,script_scripts,script_statusChange,send_diffSenderReplyTo,send_noCharacters,send_noWords,send_nonModalSenderDomain,subj_bank,subj_debit,subj_forward,subj_noCharacters,subj_noWords,subj_reply,subj_richness,subj_verify,url_atSymbol,url_ipAddress,url_linkText,url_maxNoPeriods,url_noDomains,url_noExtLinks,url_noImgLinks,url_noIntLinks,url_noIpAddresses,url_noLinks,url_noPorts,url_nonModalHereLinks,url_ports,label
1,1,327,42,1,53,0.162079511,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2699,225,8,487,0.180437199,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,485,69,1,82,0.169072165,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4915,303,2,821,0.167039674,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,128,23,0,24,0.1875,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1400,152,2,248,0.177142857,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,136,23,0,23,0.169117647,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,292,52,1,63,0.215753425,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,172,33,0,36,0.209302326,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,334,42,1,53,0.158682635,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1273,130,9,213,0.167321288,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1397,178,1,244,0.174659986,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,645,100,4,130,0.201550388,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,261,49,0,61,0.233716475,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,200,35,0,37,0.185,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,340,45,1,56,0.164705882,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,342,46,1,57,0.166666667,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,348,42,1,54,0.155172414,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,218,33,0,36,0.165137615,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,260,48,0,62,0.238461538,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,6559,696,4,1287,0.196218936,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4780,521,2,931,0.194769874,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,8178,843,7,1562,0.191000245,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,263,35,1,41,0.155893536,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,267,42,1,48,0.179775281,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,787,110,0,153,0.194409149,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2217,253,3,474,0.213802436,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,571,85,5,101,0.176882662,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2038,251,0,434,0.212953876,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,122,23,0,24,0.196721311,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,265,53,0,67,0.252830189,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1174,149,5,229,0.195059625,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,630,97,1,135,0.214285714,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,994,147,2,188,0.189134809,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,722,74,0,144,0.199445983,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,577,77,1,97,0.168110919,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4655,366,2,779,0.167346939,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,343,55,4,63,0.183673469,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,548,71,3,89,0.162408759,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1860,248,4,372,0.2,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2988,239,0,503,0.168340027,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,735,87,0,95,0.129251701,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9629,1040,7,1788,0.185689064,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7702,782,7,1483,0.19254739,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9234,498,2,1635,0.177063028,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,620,93,1,107,0.172580645,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,5997,631,4,1195,0.1992663,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,685,93,1,114,0.166423358,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,435,72,0,89,0.204597701,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,951,151,0,169,0.177707676,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,202,38,0,39,0.193069307,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4264,452,0,814,0.190900563,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1943,191,1,319,0.164179104,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,2,0,0,0,2,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,4710,444,2,902,0.191507431,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,46,9,0,10,0.217391304,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1579,146,2,256,0.162127929,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,1,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1096,162,2,207,0.188868613,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1059,143,1,213,0.201133144,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,5,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1304,181,0,272,0.208588957,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,614,102,1,136,0.221498371,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,9101,635,6,1166,0.128117789,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,4,4,68,0,0,0,68,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1186,150,2,223,0.188026981,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,150,28,0,29,0.193333333,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,184,43,0,45,0.244565217,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,246,49,0,56,0.227642276,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,708,112,0,143,0.201977401,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,848,107,2,153,0.180424528,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1717,181,0,292,0.170064065,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,2,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,279,50,0,57,0.204301075,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,946,140,0,204,0.21564482,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1076,133,5,175,0.162639405,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,4,0,0,0,4,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,473,73,0,95,0.200845666,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,252,35,2,42,0.166666667,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,2,1,0,0,0,1,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,711,88,4,123,0.172995781,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,3,2,0,0,0,2,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1078,126,0,177,0.16419295,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,310,39,0,51,0.164516129,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,215,39,0,49,0.227906977,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1286,139,4,250,0.194401244,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,3,3,2,0,0,0,2,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2212,305,1,471,0.212929476,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,151,38,0,40,0.264900662,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,59,12,0,12,0.203389831,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,533,81,0,99,0.185741088,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,447,53,0,67,0.149888143,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,393,64,0,80,0.203562341,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,548,85,0,102,0.186131387,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,3155,286,1,559,0.177179081,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1728,196,5,323,0.186921296,1,1,1,0,1,1,1,1,1,4,1,1,1,1,1,4,1,1,0.25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,H
